model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target
ld2_ridge_characteristics_full_dgtw_select_union,ridge,characteristics,0,cap_spread_bp,10.07625021349566,4.208761186345966,2.3941130815844245,0.016660611300196502,1.8272298687274962,18.325270558263824,2266,2266,0,5,full,select,union,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_retain,lasso,characteristics,504,rank_ic,0.06035402559706888,0.0016502825469804961,36.57193473172093,7.991739779767268e-293,0.057119531240672074,0.06358851995346568,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_retain,lasso,characteristics,504,ew_spread_bp,14.675174070237416,3.5094941822931682,4.181563868742015,2.8951090012155184e-05,7.796691868989959,21.553656271484872,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_retain,lasso,characteristics,504,cap_spread_bp,9.47614194344355,4.069890509517211,2.3283530407720114,0.019893364998146028,1.4993031237684464,17.452980763118653,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_recent,lasso,characteristics,504,rank_ic,0.060446141572679385,0.0016415612487978063,36.8223492220878,8.104658361468456e-297,0.05722874064661909,0.06366354249873968,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_recent,lasso,characteristics,504,ew_spread_bp,15.174375414120071,3.4865725213567464,4.352232836451999,1.347580356891736e-05,8.340818842773839,22.007931985466303,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_recent,lasso,characteristics,504,cap_spread_bp,9.982956890717086,4.0706988147788294,2.4523938873771685,0.014190922753160105,2.0045338218406954,17.961379959593476,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_union,lasso,characteristics,504,rank_ic,0.0608467278939739,0.0016615920138580134,36.619535593876165,1.3981097549433597e-293,0.057590067389812816,0.06410338839813498,2266,2266,0,5,full,fixed504,union,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_union,lasso,characteristics,504,ew_spread_bp,15.706872025577969,3.5258145934998684,4.4548207539145395,8.396331387095576e-06,8.796402406152495,22.617341645003442,2266,2266,0,5,full,fixed504,union,dgtw
ld2_lasso_characteristics_full_dgtw_fixed504_union,lasso,characteristics,504,cap_spread_bp,8.884863980489436,4.259691408523132,2.0857999156257865,0.036996751076084994,0.536022234529403,17.23370572644947,2266,2266,0,5,full,fixed504,union,dgtw
ld2_lasso_characteristics_full_dgtw_select_retain,lasso,characteristics,0,rank_ic,0.06066019135822637,0.0016308431361104075,37.19560147452446,8.038120506542573e-303,0.05746379754701562,0.06385658516943712,2266,2266,0,5,full,select,retain,dgtw
ld2_lasso_characteristics_full_dgtw_select_retain,lasso,characteristics,0,ew_spread_bp,15.797142339585609,3.5572992179287235,4.440768507739888,8.963818166893901e-06,8.82496399021281,22.76932068895841,2266,2266,0,5,full,select,retain,dgtw
ld2_lasso_characteristics_full_dgtw_select_retain,lasso,characteristics,0,cap_spread_bp,11.637480162636457,3.95097031285958,2.9454739573109165,0.003224602921259665,3.8937206454447315,19.381239679828184,2266,2266,0,5,full,select,retain,dgtw
ld2_lasso_characteristics_full_dgtw_select_recent,lasso,characteristics,0,rank_ic,0.06086297513739528,0.0016507279132723953,36.870385875247486,1.3787275887666457e-297,0.05762760787910643,0.06409834239568414,2266,2266,0,5,full,select,recent,dgtw
ld2_lasso_characteristics_full_dgtw_select_recent,lasso,characteristics,0,ew_spread_bp,16.719573107209595,3.4675675751846997,4.821700729601218,1.4233938696886972e-06,9.923265545888697,23.515880668530492,2266,2266,0,5,full,select,recent,dgtw
ld2_lasso_characteristics_full_dgtw_select_recent,lasso,characteristics,0,cap_spread_bp,9.988540649995379,4.102619107016855,2.434674140943678,0.014905205832797428,1.9475549579564664,18.02952634203429,2266,2266,0,5,full,select,recent,dgtw
ld2_lasso_characteristics_full_dgtw_select_union,lasso,characteristics,0,rank_ic,0.06093696666683506,0.0016400977717102381,37.15447195766388,3.7125028573302626e-302,0.057722434103158596,0.06415149923051153,2266,2266,0,5,full,select,union,dgtw
ld2_lasso_characteristics_full_dgtw_select_union,lasso,characteristics,0,ew_spread_bp,16.66673954185875,3.5577902208487657,4.684576241789388,2.805397292133915e-06,9.693598844446363,23.639880239271136,2266,2266,0,5,full,select,union,dgtw
