family,comparison,model_id,benchmark_id,metric,family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
estimator,versus_ols,lasso_textcore_raw_fit756_val126,ols_textcore_raw_fit756_val126,rank_ic,36,1.0,-0.0005600404346437618,0.0004237429705582522,-1.3216512687064685,0.18628430281938757,-0.0013905613956399525,0.000270480526352429,1258,1258,0,5,raw,2014-2018
estimator,versus_ols,lasso_textcore_raw_fit756_val126,ols_textcore_raw_fit756_val126,rank_ic,36,1.0,-0.0005600404346437618,0.0004702259584455445,-1.1910028031951334,0.23365248442270103,-0.001481666377792857,0.00036158550850533353,1258,1258,0,21,raw,2014-2018
estimator,versus_ols,lasso_textcore_raw_fit756_val126,ols_textcore_raw_fit756_val126,rank_ic,36,1.0,-0.0005600404346437618,0.0005069640273958736,-1.1046946220632778,0.26929193450661515,-0.0015536716697970511,0.00043359080050952767,1258,1258,0,63,raw,2014-2018
history,versus_fit504,lasso_textcore_raw_fit756_val126,lasso_textcore_raw_fit504_val126,rank_ic,32,1.0,-0.0003280950453657486,0.000652836514613205,-0.5025684654911491,0.6152677049468526,-0.001607631101800287,0.0009514410110687899,1258,1258,0,5,raw,2014-2018
history,versus_fit504,lasso_textcore_raw_fit756_val126,lasso_textcore_raw_fit504_val126,rank_ic,32,1.0,-0.0003280950453657486,0.0006270948077814545,-0.5231984722158491,0.6008361445053131,-0.0015571782835094674,0.0009009881927779704,1258,1258,0,21,raw,2014-2018
history,versus_fit504,lasso_textcore_raw_fit756_val126,lasso_textcore_raw_fit504_val126,rank_ic,32,1.0,-0.0003280950453657486,0.0005767419861319122,-0.568876643724542,0.5694398567672148,-0.0014584885665563957,0.0008022984758248987,1258,1258,0,63,raw,2014-2018
feature,versus_core,enet_textcore_raw_fit756_val126,enet_core_raw_fit756_val126,rank_ic,48,0.0004332916804552602,0.00634430342210691,0.0014291356530997835,4.439259078273058,9.026910009484588e-06,0.003543249013009206,0.009145357831204614,1258,1258,0,5,raw,2014-2018
feature,versus_core,enet_textcore_raw_fit756_val126,enet_core_raw_fit756_val126,rank_ic,48,0.0016221614878913684,0.00634430342210691,0.0015301268330536312,4.146259829615406,3.379503099773684e-05,0.003345309937543461,0.00934329690667036,1258,1258,0,21,raw,2014-2018
feature,versus_core,enet_textcore_raw_fit756_val126,enet_core_raw_fit756_val126,rank_ic,48,0.00380375199215383,0.00634430342210691,0.001607506935998832,3.9466725026382843,7.924483316987146e-05,0.0031936477226508658,0.009494959121562955,1258,1258,0,63,raw,2014-2018
estimator,versus_ols,enet_textcore_raw_fit756_val126,ols_textcore_raw_fit756_val126,rank_ic,36,1.0,-0.0005589812164201668,0.00042410937965458873,-1.318011916820663,0.1874996587156499,-0.001390220326048785,0.00027225789320845146,1258,1258,0,5,raw,2014-2018
