model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,horizon,target_column,stock_days
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.10712403531393276,0.009255798327925268,11.573721846416369,5.59996144357179e-31,0.08898300394303318,0.12526506668483234,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,126.30296814378978,42.803916632527425,2.9507339066212928,0.0031701990243387726,42.408833146781035,210.19710314079853,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,95.48922043569607,40.37883388268917,2.364833534151002,0.018038176757846854,16.34816028789966,174.6302805834925,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.10875244272825335,0.009705994463584427,11.204667706774174,3.8680252236440965e-29,0.08972904314548272,0.12777584231102398,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,112.53311980240365,45.747891015409834,2.4598537179451117,0.013899365548138799,22.86890104353685,202.19733856127044,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,96.00320395089672,45.93419402687917,2.0900160759263313,0.03661635563443515,5.97383799933867,186.03256990245478,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.10859650501307645,0.00962605390437349,11.281518480146557,1.6192650970147983e-29,0.08972978604726324,0.12746322397888965,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,113.72665382436894,44.734077146447596,2.542282328795066,0.011013117450317154,26.04947373569533,201.40383391304255,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,109.41346835468394,43.33833118739939,2.524635013784192,0.011581850668040707,24.471900077312142,194.35503663205574,2266,2266,0,9,additive_c,,34,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.1085047288383072,0.009157065981931903,11.849289832835247,2.1702215709132347e-32,0.09055720930966377,0.12645224836695063,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,136.75678476196506,42.46926888675617,3.2201351317496307,0.0012813018329774727,53.518547294175505,219.99502222975462,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,102.30892178202484,40.048827572172314,2.5546046659581507,0.010630846288936164,23.814662117512412,180.80318144653728,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.11084581284687721,0.009679629368695167,11.451452181150966,2.3123882409087004e-30,0.0918740879005385,0.12981753779321592,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,128.0347718564901,45.605429484670665,2.8074458086076435,0.0049936080962314465,38.64977256705451,217.41977114592567,2266,2266,0,9,additive_cs,,36,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
