model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,year
ols_characteristics_all_raw_fit252_val126,ols,characteristics_all,252,ew_spread_bp,-9.580395812803083,20.634224534126446,-0.46429638278668034,0.6424354152021362,-50.022732748603694,30.86194112299753,253,253,0,5,raw,2020
ols_characteristics_all_raw_fit252_val126,ols,characteristics_all,252,cap_spread_bp,-5.775855082598504,22.65295829446858,-0.2549713378498939,0.798745236825082,-50.174837483044804,38.623127317847796,253,253,0,5,raw,2020
ridge_characteristics_all_raw_fit252_val126,ridge,characteristics_all,252,rank_ic,0.0677885538138884,0.009145298512759746,7.4123937801820405,1.2403979657872922e-13,0.049864098101011584,0.08571300952676522,253,253,0,5,raw,2020
ridge_characteristics_all_raw_fit252_val126,ridge,characteristics_all,252,ew_spread_bp,-15.24068076265794,21.653922895204605,-0.7038300097592516,0.48153864250586975,-57.68158976126626,27.200228235950384,253,253,0,5,raw,2020
ridge_characteristics_all_raw_fit252_val126,ridge,characteristics_all,252,cap_spread_bp,3.5852705644357936,24.61382289553373,0.1456608581142572,0.8841891224264662,-44.6569358326577,51.82747696152929,253,253,0,5,raw,2020
lasso_characteristics_all_raw_fit252_val126,lasso,characteristics_all,252,rank_ic,0.06605250341004391,0.009212060993637828,7.170219938367982,7.487737455547935e-13,0.04799719563912751,0.08410781118096032,253,253,0,5,raw,2020
lasso_characteristics_all_raw_fit252_val126,lasso,characteristics_all,252,ew_spread_bp,-22.905430712203085,22.373098282277592,-1.0237934157893174,0.3059328609572717,-66.75589756804212,20.945036143635946,253,253,0,5,raw,2020
lasso_characteristics_all_raw_fit252_val126,lasso,characteristics_all,252,cap_spread_bp,-23.10851290184051,29.414714404562268,-0.7856106499628751,0.4320956232464459,-80.76029375031409,34.54326794663308,253,253,0,5,raw,2020
enet_characteristics_all_raw_fit252_val126,enet,characteristics_all,252,rank_ic,0.06623232760802786,0.009250353241099183,7.159978206427685,8.068988779227125e-13,0.0481019684112001,0.08436268680485562,253,253,0,5,raw,2020
enet_characteristics_all_raw_fit252_val126,enet,characteristics_all,252,ew_spread_bp,-23.166898571045017,22.7889329118282,-1.0165854917682715,0.30935065885513324,-67.83238632432779,21.498589182237758,253,253,0,5,raw,2020
enet_characteristics_all_raw_fit252_val126,enet,characteristics_all,252,cap_spread_bp,-22.344562155674854,29.360089098406842,-0.7610522597796657,0.4466258536047367,-79.88927937143933,35.20015506008963,253,253,0,5,raw,2020
ols_characteristics_textcore_raw_fit252_val126,ols,characteristics_textcore,252,rank_ic,0.06447045816620113,0.007931990995339666,8.127903600001547,4.3677834535338895e-16,0.04892404148963937,0.08001687484276289,253,253,0,5,raw,2020
ols_characteristics_textcore_raw_fit252_val126,ols,characteristics_textcore,252,ew_spread_bp,-16.616565919309046,19.243011853308815,-0.8635117021170388,0.38785618825593315,-54.33217610587168,21.09904426725359,253,253,0,5,raw,2020
