model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,period
li1_ols_text_squares_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,29.742924919317982,6.213960564295252,4.786468245424284,1.6974178098268841e-06,17.563786011947098,41.92206382668887,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_text_squares_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.06969249735987636,0.0029204340526099506,23.863746314556618,7.290903790550074e-126,0.0639685517975365,0.07541644292221622,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_text_squares_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,36.19681141278622,5.305247756688726,6.822831481743744,8.926334704885134e-12,25.7987168806144,46.594905944958036,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_text_squares_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,34.752585129408075,6.365317542346784,5.459678154028965,4.76998482483513e-08,22.27679199624737,47.22837826256878,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_enet_text_squares_joint_raw_fixed504_union,enet,characteristics_textcore,504,rank_ic,0.06985870255092345,0.0031659654657207486,22.065528922318727,6.777141088304833e-108,0.06365352426181321,0.0760638808400337,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_enet_text_squares_joint_raw_fixed504_union,enet,characteristics_textcore,504,ew_spread_bp,31.866624965582353,5.50529535098582,5.788358831624914,7.107744687213044e-09,21.07644435339435,42.656805577770356,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_enet_text_squares_joint_raw_fixed504_union,enet,characteristics_textcore,504,cap_spread_bp,31.595111156374493,6.608232055430209,4.781174585176941,1.7427392863915044e-06,18.64321432624819,44.547007986500795,2266,2266,0,5,text_squares,,262,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ols_agreement_c_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.06929433555704353,0.002760802399891088,25.099346320394808,5.0557226848056126e-139,0.06388326228482526,0.07470540882926181,2266,2266,0,5,agreement_c,,296,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ols_agreement_c_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,41.29014577777924,5.051150467804324,8.17440423542314,2.973313786936652e-16,31.390072780390117,51.19021877516836,2266,2266,0,5,agreement_c,,296,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ols_agreement_c_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,28.45602444997982,5.903736240893205,4.820002670999165,1.4355629936249792e-06,16.884914043605256,40.02713485635439,2266,2266,0,5,agreement_c,,296,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_agreement_c_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.07013294646803238,0.003040559274330298,23.06580472221828,1.0209859141987133e-117,0.06417355979748575,0.07609233313857901,2266,2266,0,5,agreement_c,,296,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
li1_ridge_agreement_c_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,34.6601314266047,5.408223788195686,6.408782769355067,1.466860180586597e-10,24.060207581408378,45.26005527180102,2266,2266,0,5,agreement_c,,296,pca_interactions,standard,original,fixed16,fixed504,union,raw,full
