model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,5.380171262199159,3.9875684650137178,1.3492360844469289,0.17726114788327607,-2.435319315115394,13.195661839513711,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.021546768882461403,0.004328866348664685,4.977462260785179,6.442333771282791e-07,0.013062346745191213,0.030031191019731594,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,3.5989384866146406,3.82437983517001,0.9410515277582653,0.3466784538862471,-3.896708253519807,11.09458522674909,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,4.792881487019938,3.916556952605404,1.2237487019897868,0.2210470412356106,-2.883429083486601,12.469192057526477,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.02069682478374531,0.004346082836536277,4.7621790845202066,1.915136069535821e-06,0.012178658950306528,0.029214990617184092,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,2.7121240754067184,3.939179409536365,0.6884997593257453,0.4911381217970773,-5.008525695926313,10.43277384673975,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,4.439864135459664,4.000128469611781,1.1099303857834746,0.267029025546747,-3.40024359851275,12.279971869432078,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.02166927249935419,0.0038098609405096246,5.687680689063577,1.2877631930310697e-08,0.014202082269849429,0.02913646272885895,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,5.376509919406503,3.513880560553012,1.5300775956256043,0.12599752316590637,-1.5105694252528163,12.263589264065823,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,6.751853962513392,3.298195446616554,2.0471357964670545,0.04064475314002768,0.28750967317094744,13.216198251855836,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.04019348710143006,0.003411080858381291,11.783211471716227,4.764261507638616e-32,0.033507891470648754,0.04687908273221136,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,-3.795335385201487,4.755727353029159,-0.7980557133461508,0.4248381598355031,-13.116389717430641,5.525718947027668,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,4.687016060121636,5.0916654925003915,0.9205270980635373,0.3572973790101529,-5.292464926504528,14.6664970467478,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.0420830621421133,0.0035826410994852023,11.746379548920014,7.370972039845373e-32,0.03506121461758932,0.049104909666637275,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,-4.596730149866584,4.969283407678829,-0.9250287763349231,0.3549509391232344,-14.33634665788956,5.142886358156392,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,6.090643896556087,5.2399883689348,1.1623392014883824,0.2450977089538252,-4.179544585964902,16.360832379077078,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.04183189329060372,0.0035787561774790664,11.688947560565799,1.45174403157077e-31,0.03481766007329451,0.048846126507912924,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,activity_tercile_1,1152254
